cuenca|estacion|año|periodo|parametro|valor|val_eca1
CAPLINA|RCapl2|2011|I|Estaño|4e-4|NA
CAPLINA|RCapl3|2011|I|Estaño|4e-4|NA
CAPLINA|RCapl4|2011|I|Estaño|4e-4|NA
CAPLINA|QToqu1|2011|I|Estroncio|1.1456|NA
CAPLINA|QToqu2|2011|I|Estroncio|1.3369|NA
CAPLINA|QArum1|2011|I|Estroncio|0.3616|NA
CAPLINA|RCapl1|2011|I|Estroncio|0.4369|NA
CAPLINA|RCapl2|2011|I|Estroncio|0.483|NA
CAPLINA|RCapl3|2011|I|Estroncio|0.701|NA
CAPLINA|RCapl4|2011|I|Estroncio|0.6736|NA
CAPLINA|QToqu1|2011|I|Hierro|0.481|1
CAPLINA|QToqu2|2011|I|Hierro|2.0622|1
CAPLINA|QArum1|2011|I|Hierro|74.2877|1
CAPLINA|RCapl1|2011|I|Hierro|8.0337|1
CAPLINA|RCapl2|2011|I|Hierro|6.8963|1
CAPLINA|RCapl3|2011|I|Hierro|11.9677|1
CAPLINA|RCapl4|2011|I|Hierro|13.4209|1
CAPLINA|QToqu1|2011|I|Litio|0.0467|NA
CAPLINA|QToqu2|2011|I|Litio|0.0506|NA
CAPLINA|QArum1|2011|I|Litio|0.458|NA
CAPLINA|RCapl1|2011|I|Litio|0.2381|NA
CAPLINA|RCapl2|2011|I|Litio|0.2093|NA
CAPLINA|RCapl3|2011|I|Litio|0.1429|NA
CAPLINA|RCapl4|2011|I|Litio|0.1371|NA
CAPLINA|QToqu1|2011|I|Magnesio|35.5167|NA
CAPLINA|QToqu2|2011|I|Magnesio|41.378|NA
CAPLINA|QArum1|2011|I|Magnesio|64.2239|NA
CAPLINA|RCapl1|2011|I|Magnesio|25.32|NA
CAPLINA|RCapl2|2011|I|Magnesio|21.3739|NA
CAPLINA|RCapl3|2011|I|Magnesio|25.8855|NA
CAPLINA|RCapl4|2011|I|Magnesio|24.5612|NA
CAPLINA|QToqu1|2011|I|Manganeso|0.1937|0.4
CAPLINA|QToqu2|2011|I|Manganeso|0.21|0.4
CAPLINA|QArum1|2011|I|Manganeso|5.7943|0.4
CAPLINA|RCapl1|2011|I|Manganeso|0.8989|0.4
CAPLINA|RCapl2|2011|I|Manganeso|0.7871|0.4
CAPLINA|RCapl3|2011|I|Manganeso|0.8004|0.4
CAPLINA|RCapl4|2011|I|Manganeso|0.8352|0.4
CAPLINA|QToqu1|2011|I|Mercurio|1e-4|0.002
CAPLINA|QToqu2|2011|I|Mercurio|1e-4|0.002
CAPLINA|QArum1|2011|I|Mercurio|1e-4|0.002
CAPLINA|RCapl1|2011|I|Mercurio|1e-4|0.002
CAPLINA|RCapl2|2011|I|Mercurio|1e-4|0.002
CAPLINA|RCapl3|2011|I|Mercurio|1e-4|0.002
CAPLINA|RCapl4|2011|I|Mercurio|1e-4|0.002
CAPLINA|QToqu1|2011|I|Molibdeno|0.0063|NA
CAPLINA|QToqu2|2011|I|Molibdeno|0.0108|NA
CAPLINA|QArum1|2011|I|Molibdeno|2e-4|NA
CAPLINA|RCapl1|2011|I|Molibdeno|0.0014|NA
CAPLINA|RCapl2|2011|I|Molibdeno|0.0039|NA
CAPLINA|RCapl3|2011|I|Molibdeno|0.0024|NA
CAPLINA|RCapl4|2011|I|Molibdeno|0.0029|NA
CAPLINA|QToqu1|2011|I|Niquel|9e-4|NA
CAPLINA|QToqu2|2011|I|Niquel|0.0019|NA
CAPLINA|QArum1|2011|I|Niquel|0.0022|NA
CAPLINA|RCapl1|2011|I|Niquel|0.0026|NA
CAPLINA|RCapl2|2011|I|Niquel|0.0037|NA
CAPLINA|RCapl3|2011|I|Niquel|0.0161|NA
CAPLINA|RCapl4|2011|I|Niquel|0.0203|NA
CAPLINA|QToqu1|2011|I|Plata|2e-4|NA
CAPLINA|QToqu2|2011|I|Plata|5e-4|NA
CAPLINA|QArum1|2011|I|Plata|2e-4|NA
CAPLINA|RCapl1|2011|I|Plata|2e-4|NA
CAPLINA|RCapl2|2011|I|Plata|3e-4|NA
CAPLINA|RCapl3|2011|I|Plata|3e-4|NA
CAPLINA|RCapl4|2011|I|Plata|2e-4|NA
CAPLINA|QToqu1|2011|I|Plomo|5e-4|0.05
CAPLINA|QToqu2|2011|I|Plomo|0.0053|0.05
CAPLINA|QArum1|2011|I|Plomo|0.2464|0.05
CAPLINA|RCapl1|2011|I|Plomo|0.0286|0.05
CAPLINA|RCapl2|2011|I|Plomo|0.0315|0.05
CAPLINA|RCapl3|2011|I|Plomo|0.016|0.05
CAPLINA|RCapl4|2011|I|Plomo|0.0161|0.05
CAPLINA|QToqu1|2011|I|Potasio|6.8266|NA
CAPLINA|QToqu2|2011|I|Potasio|8.1457|NA
CAPLINA|QArum1|2011|I|Potasio|51.5239|NA
CAPLINA|RCapl1|2011|I|Potasio|17.7506|NA
CAPLINA|RCapl2|2011|I|Potasio|15.1208|NA
CAPLINA|RCapl3|2011|I|Potasio|13.1892|NA
CAPLINA|RCapl4|2011|I|Potasio|11.5535|NA
CAPLINA|QToqu1|2011|I|Selenio|2e-4|0.04
CAPLINA|QToqu2|2011|I|Selenio|3e-4|0.04
CAPLINA|QArum1|2011|I|Selenio|2e-4|0.04
CAPLINA|RCapl1|2011|I|Selenio|7e-4|0.04
CAPLINA|RCapl2|2011|I|Selenio|9e-4|0.04
CAPLINA|RCapl3|2011|I|Selenio|2e-4|0.04
CAPLINA|RCapl4|2011|I|Selenio|4e-4|0.04
CAPLINA|QToqu1|2011|I|Silicio|15.773|NA
CAPLINA|QToqu2|2011|I|Silicio|15.2391|NA
CAPLINA|QArum1|2011|I|Silicio|75.1049|NA
CAPLINA|RCapl1|2011|I|Silicio|39.4376|NA
CAPLINA|RCapl2|2011|I|Silicio|33.4411|NA
CAPLINA|RCapl3|2011|I|Silicio|31.6455|NA
CAPLINA|RCapl4|2011|I|Silicio|0.1|NA
CAPLINA|QToqu1|2011|I|Sodio|82.2655|NA
CAPLINA|QToqu2|2011|I|Sodio|69.5124|NA
CAPLINA|QArum1|2011|I|Sodio|254.1252|NA
CAPLINA|RCapl1|2011|I|Sodio|111.0211|NA
CAPLINA|RCapl2|2011|I|Sodio|99.49|NA
CAPLINA|RCapl3|2011|I|Sodio|80.5586|NA
CAPLINA|RCapl4|2011|I|Sodio|75.8998|NA
CAPLINA|QToqu1|2011|I|Talio|3e-4|NA
CAPLINA|QToqu2|2011|I|Talio|3e-4|NA
CAPLINA|QArum1|2011|I|Talio|0.0183|NA
CAPLINA|RCapl1|2011|I|Talio|0.002|NA
CAPLINA|RCapl2|2011|I|Talio|0.0017|NA
CAPLINA|RCapl3|2011|I|Talio|9e-4|NA
CAPLINA|RCapl4|2011|I|Talio|9e-4|NA
CAPLINA|QToqu1|2011|I|Titanio|0.0051|NA
CAPLINA|QToqu2|2011|I|Titanio|0.2209|NA
CAPLINA|QArum1|2011|I|Titanio|0.018|NA
CAPLINA|RCapl1|2011|I|Titanio|0.0069|NA
CAPLINA|RCapl2|2011|I|Titanio|0.0253|NA
CAPLINA|RCapl3|2011|I|Titanio|0.0151|NA
CAPLINA|RCapl4|2011|I|Titanio|0.0316|NA
CAPLINA|QToqu1|2011|I|Torio|0.001|NA
CAPLINA|QToqu2|2011|I|Torio|0.0013|NA
CAPLINA|QArum1|2011|I|Torio|0.007|NA
CAPLINA|RCapl1|2011|I|Torio|0.001|NA
CAPLINA|RCapl2|2011|I|Torio|0.001|NA
CAPLINA|RCapl3|2011|I|Torio|0.0012|NA
CAPLINA|RCapl4|2011|I|Torio|0.001|NA
CAPLINA|QToqu1|2011|I|Uranio|0.0018|0.02
CAPLINA|QToqu2|2011|I|Uranio|0.0088|0.02
CAPLINA|QArum1|2011|I|Uranio|0.0033|0.02
CAPLINA|RCapl1|2011|I|Uranio|7e-4|0.02
CAPLINA|RCapl2|2011|I|Uranio|0.0013|0.02
CAPLINA|RCapl3|2011|I|Uranio|0.0017|0.02
CAPLINA|RCapl4|2011|I|Uranio|0.002|0.02
CAPLINA|QToqu1|2011|I|Vanadio|0.0013|NA
CAPLINA|QToqu2|2011|I|Vanadio|0.0016|NA
CAPLINA|QArum1|2011|I|Vanadio|0.1363|NA
CAPLINA|RCapl1|2011|I|Vanadio|0.0183|NA
CAPLINA|RCapl2|2011|I|Vanadio|0.0102|NA
CAPLINA|RCapl3|2011|I|Vanadio|0.0067|NA
CAPLINA|RCapl4|2011|I|Vanadio|0.0014|NA
CAPLINA|QToqu1|2011|I|Zinc|0.0167|5
CAPLINA|QToqu2|2011|I|Zinc|0.0376|5
CAPLINA|QArum1|2011|I|Zinc|2.4247|5
CAPLINA|RCapl1|2011|I|Zinc|0.3567|5
CAPLINA|RCapl2|2011|I|Zinc|0.3005|5
CAPLINA|RCapl3|2011|I|Zinc|0.2345|5
CAPLINA|RCapl4|2011|I|Zinc|0.3198|5
CAPLINA|QToqu1|2011|I|Coliformes Termotolerantes|1.8|2000
CAPLINA|QToqu2|2011|I|Coliformes Termotolerantes|49|2000
CAPLINA|QArum1|2011|I|Coliformes Termotolerantes|1.8|2000
CAPLINA|RCapl1|2011|I|Coliformes Termotolerantes|1.8|2000
CAPLINA|RCapl2|2011|I|Coliformes Termotolerantes|1.8|2000
CAPLINA|RCapl3|2011|I|Coliformes Termotolerantes|1.8|2000
CAPLINA|RCapl4|2011|I|Coliformes Termotolerantes|1.8|2000
CAPLINA|QToqu1|2011|I|Coliformes Totales|130|NA
CAPLINA|QToqu2|2011|I|Coliformes Totales|2300|NA
CAPLINA|QArum1|2011|I|Coliformes Totales|1.8|NA
CAPLINA|RCapl1|2011|I|Coliformes Totales|1.8|NA
CAPLINA|RCapl2|2011|I|Coliformes Totales|1.8|NA
CAPLINA|RCapl3|2011|I|Coliformes Totales|1.8|NA
CAPLINA|RCapl4|2011|I|Coliformes Totales|1.8|NA
CAPLINA|QToqu1|2011|II|Aceites y Grasas|0.33|1.7
CAPLINA|QToqu2|2011|II|Aceites y Grasas|0.28|1.7
CAPLINA|QAnco1|2011|II|Aceites y Grasas|0.32|1.7
CAPLINA|QArum1|2011|II|Aceites y Grasas|0.26|1.7
CAPLINA|QPisc1|2011|II|Aceites y Grasas|0.2|1.7
CAPLINA|RCapl1|2011|II|Aceites y Grasas|0.28|1.7
CAPLINA|RCapl2|2011|II|Aceites y Grasas|0.41|1.7
CAPLINA|RCapl3|2011|II|Aceites y Grasas|0.41|1.7
CAPLINA|RCapl4|2011|II|Aceites y Grasas|0.38|1.7
CAPLINA|QToqu1|2011|II|Amoniaco-N|0.01|1.5
CAPLINA|QToqu2|2011|II|Amoniaco-N|0.01|1.5
CAPLINA|QAnco1|2011|II|Amoniaco-N|0.06|1.5
CAPLINA|QArum1|2011|II|Amoniaco-N|0.21|1.5
CAPLINA|QPisc1|2011|II|Amoniaco-N|0.02|1.5
CAPLINA|RCapl1|2011|II|Amoniaco-N|0.01|1.5
CAPLINA|RCapl2|2011|II|Amoniaco-N|0.02|1.5
CAPLINA|RCapl3|2011|II|Amoniaco-N|0.02|1.5
CAPLINA|RCapl4|2011|II|Amoniaco-N|0.03|1.5
CAPLINA|QToqu1|2011|II|Cianuro WAD|0.002|NA
CAPLINA|QToqu2|2011|II|Cianuro WAD|0.002|NA
CAPLINA|QAnco1|2011|II|Cianuro WAD|0.002|NA
CAPLINA|QArum1|2011|II|Cianuro WAD|0.002|NA
CAPLINA|QPisc1|2011|II|Cianuro WAD|0.002|NA
CAPLINA|RCapl1|2011|II|Cianuro WAD|0.002|NA
CAPLINA|RCapl2|2011|II|Cianuro WAD|0.002|NA
CAPLINA|RCapl3|2011|II|Cianuro WAD|0.002|NA
CAPLINA|RCapl4|2011|II|Cianuro WAD|0.002|NA
CAPLINA|QToqu1|2011|II|Conductividad|993|1600
CAPLINA|QToqu2|2011|II|Conductividad|1369|1600
CAPLINA|QAnco1|2011|II|Conductividad|3100|1600
CAPLINA|QArum1|2011|II|Conductividad|6520|1600
CAPLINA|QPisc1|2011|II|Conductividad|1868|1600
CAPLINA|RCapl1|2011|II|Conductividad|1425|1600
CAPLINA|RCapl2|2011|II|Conductividad|1356|1600
CAPLINA|RCapl3|2011|II|Conductividad|1680|1600
CAPLINA|RCapl4|2011|II|Conductividad|1579|1600
CAPLINA|QToqu1|2011|II|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|QToqu2|2011|II|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|QAnco1|2011|II|Demanda Bioquímica de Oxígeno (DBO5)|15.8|5
CAPLINA|QArum1|2011|II|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|QPisc1|2011|II|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|RCapl1|2011|II|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|RCapl2|2011|II|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|RCapl3|2011|II|Demanda Bioquímica de Oxígeno (DBO5)|2|5
CAPLINA|RCapl4|2011|II|Demanda Bioquímica de Oxígeno (DBO5)|3.4|5
CAPLINA|QToqu1|2011|II|Demanda Química de Oxígeno (DQO)|6.3|20
CAPLINA|QToqu2|2011|II|Demanda Química de Oxígeno (DQO)|8.2|20
CAPLINA|QAnco1|2011|II|Demanda Química de Oxígeno (DQO)|58.3|20
CAPLINA|QArum1|2011|II|Demanda Química de Oxígeno (DQO)|9.2|20
CAPLINA|QPisc1|2011|II|Demanda Química de Oxígeno (DQO)|2.5|20
CAPLINA|RCapl1|2011|II|Demanda Química de Oxígeno (DQO)|2.5|20
CAPLINA|RCapl2|2011|II|Demanda Química de Oxígeno (DQO)|2|20
CAPLINA|RCapl3|2011|II|Demanda Química de Oxígeno (DQO)|21.6|20
CAPLINA|RCapl4|2011|II|Demanda Química de Oxígeno (DQO)|63.4|20
CAPLINA|QToqu1|2011|II|Fosfatos|0.18|NA
CAPLINA|QToqu2|2011|II|Fosfatos|0.132|NA
CAPLINA|QAnco1|2011|II|Fosfatos|1.664|NA
CAPLINA|QArum1|2011|II|Fosfatos|3.2|NA
CAPLINA|QPisc1|2011|II|Fosfatos|0.104|NA
CAPLINA|RCapl1|2011|II|Fosfatos|0.743|NA
CAPLINA|RCapl2|2011|II|Fosfatos|0.613|NA
CAPLINA|RCapl3|2011|II|Fosfatos|0.771|NA
CAPLINA|RCapl4|2011|II|Fosfatos|2.436|NA
CAPLINA|QToqu1|2011|II|Fósforo Total|0.061|0.15
